No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;time 1;time 2;delay;;Delay 2;Delay 3;Jitter
66;4,474722;10.120.93.121;118.98.113.218;TCP;66;[TCP Dup ACK 63#1] 61020  >  443 [ACK] Seq=838 Ack=50257 Win=524 Len=0 SLE=51717 SRE=53177;;;;;;;;;;4,474722;4,474773;5,10E-05;;-0,00003;8,10E-05;0,000111
67;4,474773;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=53177 Win=524 Len=0;;;;;;;;;;4,474773;4,474854;8,10E-05;;0,000049;3,20E-05;-0,000017
68;4,474854;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=53177 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,474854;4,474886;3,20E-05;;-0,000786;0,000818;0,001604
69;4,474886;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=54637 Win=524 Len=0;;;;;;;;;;4,474886;4,475704;0,000818;;-0,001871;0,002689;0,00456
70;4,475704;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=54637 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,475704;4,478393;0,002689;;0,002689;0;-0,002689
71;4,478393;118.98.113.218;10.120.93.121;TLSv1.2;1514;Application Data [TCP segment of a reassembled PDU];;;;;;;;;;4,478393;4,478393;0;;-0,00007;7,00E-05;0,00014
72;4,478393;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=57557 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,478393;4,478463;7,00E-05;;-0,00202;0,00209;0,00411
73;4,478463;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=59017 Win=524 Len=0;;;;;;;;;;4,478463;4,480553;0,00209;;0,00209;0;-0,00209
74;4,480553;118.98.113.218;10.120.93.121;TCP;1514;[TCP Previous segment not captured] 443  >  61020 [ACK] Seq=60477 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,480553;4,480553;0;;-0,000108;0,000108;0,000216
75;4,480553;118.98.113.218;10.120.93.121;TCP;1514;[TCP Out-Of-Order] 443  >  61020 [ACK] Seq=59017 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,480553;4,480661;0,000108;;0,000012;9,60E-05;0,000084
76;4,480661;10.120.93.121;118.98.113.218;TCP;66;[TCP Dup ACK 73#1] 61020  >  443 [ACK] Seq=838 Ack=59017 Win=524 Len=0 SLE=60477 SRE=61937;;;;;;;;;;4,480661;4,480757;9,60E-05;;-0,001755;0,001851;0,003606
77;4,480757;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=61937 Win=524 Len=0;;;;;;;;;;4,480757;4,482608;0,001851;;0,001851;0;-0,001851
78;4,482608;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=61937 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,482608;4,482608;0;;-0,000099;9,90E-05;0,000198
79;4,482608;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=63397 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,482608;4,482707;9,90E-05;;-0,001901;0,002;0,003901
80;4,482707;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=64857 Win=524 Len=0;;;;;;;;;;4,482707;4,484707;0,002;;0,002;0;-0,002
81;4,484707;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=64857 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,484707;4,484707;0;;-0,000079;7,90E-05;0,000158
82;4,484707;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=66317 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,484707;4,484786;7,90E-05;;-0,002205;0,002284;0,004489
83;4,484786;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=67777 Win=524 Len=0;;;;;;;;;;4,484786;4,48707;0,002284;;0,002284;0;-0,002284
84;4,48707;118.98.113.218;10.120.93.121;TCP;1514;[TCP Previous segment not captured] 443  >  61020 [ACK] Seq=69237 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,48707;4,48707;0;;-0,000096;9,60E-05;0,000192
85;4,48707;118.98.113.218;10.120.93.121;TCP;1514;[TCP Out-Of-Order] 443  >  61020 [ACK] Seq=67777 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,48707;4,487166;9,60E-05;;0,000009;8,70E-05;0,000078
